iter	RMSE
0	0.6974139681
1	0.6318513168
2	0.5818846142
3	0.5426939016
4	0.5127787196
5	0.490703399
6	0.4734371139
7	0.4607536238
8	0.450707941
9	0.4437222982
10	0.438097461
11	0.4335312717
12	0.4295144886
13	0.4269686817
14	0.4244694979
15	0.422488365
16	0.4202302627
17	0.4192713274
18	0.4180666472
19	0.4169099935
20	0.4157862026
21	0.41409832
22	0.4132691634
23	0.412385842
24	0.4118580133
25	0.4111995005
26	0.410745385
27	0.410023514
28	0.4094812897
29	0.4085547162
30	0.407719359
31	0.407188945
32	0.4065411756
33	0.4056985665
34	0.4045893303
35	0.4041678201
36	0.4035490632
37	0.4022055947
38	0.4009785419
39	0.4005740342
40	0.4000254169
41	0.3992733488
42	0.398695489
43	0.3981338341
44	0.3971170882
45	0.3957376163
46	0.3949385179
47	0.3938512386
48	0.3931172475
49	0.3924983427
50	0.3916250723
51	0.3906562514
52	0.389625536
53	0.3883755002
54	0.387892429
55	0.3871088938
56	0.3868210008
57	0.3863652822
58	0.3856091399
59	0.3847339772
60	0.3839809347
61	0.3831728692
62	0.3822911653
63	0.3813724245
64	0.3807848026
65	0.3804015943
66	0.3798167347
67	0.3792557272
68	0.3790128935
69	0.3783996127
70	0.3779382869
71	0.3775930302
72	0.3767105847
73	0.3763223578
74	0.3757183582
75	0.3752877589
76	0.3749197184
77	0.3738923556
78	0.3731488306
79	0.3722761156
80	0.3715895817
81	0.3711672092
82	0.3707668598
83	0.3704458188
84	0.3696931362
85	0.3688221155
86	0.3679692318
87	0.3673425549
88	0.3670142944
89	0.3667453722
90	0.3658708195
91	0.3650079857
92	0.3640172482
93	0.3632356761
94	0.362670256
95	0.3615630691
96	0.3611558385
97	0.3602144093
98	0.3597275025
99	0.3593360648
100	0.3587772758
101	0.3584171162
102	0.3580653093
103	0.3573157166
104	0.3568234938
105	0.3559543182
106	0.3552371379
107	0.354675608
108	0.3539426827
109	0.3531655687
110	0.3527015877
111	0.3522285588
112	0.3514837912
113	0.3505548591
