iter	Passed	Remaining
0	587	587256
1	820	409333
2	1412	469371
3	2001	498443
4	2577	513009
5	3164	524227
6	3754	532603
7	4331	537096
8	4914	541152
9	5491	543617
10	6075	546246
11	6660	548344
12	7260	551250
13	7862	553765
14	8441	554346
15	9026	555125
16	9606	555459
17	10183	555567
18	10757	555449
19	11328	555118
20	11923	555857
21	12502	555783
22	13088	555975
23	13666	555756
24	14235	555180
25	14818	555122
26	15413	555449
27	15980	554757
28	16549	554135
29	17131	553923
30	17700	553293
31	18274	552792
32	18844	552207
33	19428	551994
34	20006	551618
35	20576	550988
36	21155	550623
37	21743	550442
38	22332	550286
39	22901	549637
40	23476	549131
41	24055	548694
42	24628	548117
43	25220	547982
44	25795	547432
45	26376	547021
46	26955	546563
47	27535	546130
48	28114	545650
49	28701	545320
50	29291	545046
51	29866	544495
52	30453	544144
53	31042	543826
54	31616	543224
55	32199	542785
56	32766	542079
57	33355	541740
58	33942	541348
59	34544	541204
60	35175	541479
61	35787	541436
62	36413	541578
63	37007	541239
64	37605	540945
65	38357	542818
66	39052	543814
67	39709	544258
68	40379	544830
69	41034	545169
70	41825	547264
71	42560	548553
72	43191	548467
73	43802	548119
74	44380	547355
75	44996	547067
76	45585	546431
77	46210	546231
78	46827	545921
79	47419	545324
80	48006	544665
81	48614	544244
82	49202	543604
83	49525	540058
84	50108	539399
85	50704	538887
86	51319	538557
87	51919	538072
88	52058	532865
89	52638	532233
90	53255	531965
91	53867	531653
92	54462	531156
93	55059	530681
94	55647	530118
95	56279	529966
96	56858	529311
97	57462	528891
98	58072	528520
99	58657	527920
100	59245	527346
101	59426	523185
102	60007	522593
103	60612	522196
104	61204	521699
105	61803	521244
106	62391	520706
107	63005	520380
108	63610	519970
109	64239	519752
110	64822	519164
111	65436	518821
112	66047	518442
113	66811	519257
